Tmu,mu,T,rho,cp,k,pr,beta
387.65,0.012074963,387.65,1809.488,996.4584,0.131373955,166.3153087,0.000517273
388.15,0.011994602,388.15,1809.02,997.0916975,0.13144808,165.0725856,0.000517407
388.705555,0.011905312,388.705555,1808.500001,997.7953606,0.131530441,163.6940971,0.000481363
394.2611111,0.011012414,394.2611111,1803.7,1004.832,0.13235405,150.0754253,0.000518933
403.15,0.011,397.0388889,1800.7,1009.0188,0.132765855,142.2967164,0.000559782
408.15,0.0099,399.8166667,1798.1,1013.2056,0.13317766,134.6195264,0.000500528
413.15,0.009,400,1797.9416,1013.481929,0.133291812,134.0363366,0.000497926
418.15,0.0081,402.5944444,1795.7,1017.3924,0.13490724,125.7833175,0.000461102
423.15,0.0072,405.3722222,1793.5,1021.5792,0.13490724,118.7047693,0.000451631
428.15,0.0065,408.15,1791.2,1027.8594,0.13490724,112.6249142,0.000472309
433.05,0.0089,410.9277778,1788.8,1034.1396,0.13490724,106.5543252,0.000483005
438.05,0.043,413.7055556,1786.4,1040.4198,0.135339635,102.1428208,0.000463502
443.15,0.8711,416.4833333,1784.2,1046.7,0.13577203,97.7808982,0.000464074
448.05,5.668,419.2611111,1781.8,1059.2604,0.136204425,92.47240258,0.000474801
453.05,14.901,422.0388889,1779.5,1071.8208,0.13663682,87.21547582,0.000455184
458.05,25.97,424.8166667,1777.3,1109.502,0.13750161,85.59802866,0.000435492
463.05,35.262,425,1777.1614,1111.988959,0.137558686,85.49308004,0.000430955
468.05,41.499,427.5944444,1775.2,1147.1832,0.1383664,84.00789805,0.000366755
473.15,44.551,430.0388889,1773.9,1242.977184,0.139127415,85.15694245,0.000305814
478.15,44.845,430.3722222,1773.693103,1256.04,0.13923119,85.31104278,0.000349942
483.15,43.12,431.2055556,1773.175862,1863.126,0.139490627,118.2326969,0.000350044
488.15,40.095,431.65,1772.9,1762.6428,0.139628993,135.7329997,0.000249893
493.15,36.412,432.0388889,1772.806667,1674.72,0.139750064,151.0254513,0.000135379
498.15,32.442,433.15,1772.54,1523.9952,0.14009598,43144.70354,0.000135399
503.15,28.467,434.15,1772.3,1480.285008,0.14009598,81828.28887,0.000130001
508.15,24.752,435.9277778,1771.9,1402.578,0.14009598,150575.5007,0.000126982
513.15,21.099,438.15,1771.4,1348.98696,0.14009598,240852.8174,0.000117801
518.15,18.1,438.7055556,1771.320354,1335.5892,0.140410449,262830.956,8.09E-05
523.15,15.343,444.2611111,1770.523894,1381.644,0.14355514,568978.0771,8.10E-05
528.15,12.966,444.4277778,1770.5,1376.243028,0.143607027,576745.8757,0.000268536
533.15,10.603,449.8166667,1767.88254,1201.6116,0.14528472,823940.1322,0.000274744
538.15,9.34,450,1767.793492,1200.713531,0.145341796,832207.5151,0.000274123
543.15,7.819,451.4277778,1767.1,1193.719482,0.145786298,896592.8906,0.000269293
548.15,6.544,455.3722222,1765.238835,1174.3974,0.1470143,1072126.27,0.000267298
553.15,5.517,457.15,1764.4,1165.688856,0.147844012,1080379.163,0.000285688
555.3722222,5.208574,460.9277778,1762.438462,1147.1832,0.14960715,1097455.046,0.000294609
558.15,4.7621248,466.4833333,1759.553846,1136.0184,0.1522,1049466.4,0.000295092
560.9277778,4.3156756,472.0388889,1756.669231,1124.8536,0.154662333,929648.8163,0.000295577
566.4833333,3.4227772,473.15,1756.092308,1122.62064,0.1551548,906181.5072,0.000295674
568.15,3.24419752,475,1755.131731,1118.902762,0.155736662,869013.1981,0.000295836
575,2.510235035,477.5944444,1753.784615,1113.6888,0.156552667,816888.272,0.000296063
577.5944444,2.232246,483.15,1750.9,1107.4086,0.1583,716012.2939,0.000321153
578.15,2.20992354,488.15,1747.849153,1101.75642,0.158,634632.1043,0.000349097
583.15,2.0090214,488.7055556,1747.510169,1101.1284,0.158055556,625236.5199,0.000349165
588.7055556,1.7857968,498.15,1741.747458,1090.45206,0.159,453193.478,0.00035032
593.15,1.424702446,499.8166667,1740.730508,1088.568,0.159166667,423158.9804,0.000350525
598.15,1.120535491,500,1740.618644,1088.47589,0.159185,420552.9818,0.000350548
600,1.007993717,508.15,1735.645763,1084.3812,0.16,304704.4974,0.000351552
608.15,0.512201581,510.9277778,1733.950847,1082.9856,0.160555556,265183.3076,0.000351895
623.15,0.390150947,512.65,1732.9,1082.120328,0.1609,250791.7305,0.000347039
625,0.375098036,516.4833333,1730.609829,1080.1944,0.161666667,219044.4101,0.000345217
630.15,0.333193985,522.0388889,1727.290741,1082.2878,0.162777778,173705.5958,0.00034588
638.15,0.268100313,523.15,1726.626923,1082.70648,0.163,167884.7724,0.000346013
644.2611111,0.218375981,525,1725.521667,1083.403582,0.163185,158489.814,0.000346236
648.15,0.093104104,533.15,1720.652564,1086.4746,0.164,117101.2135,0.000347215
650,0.093104104,538.15,1717.665385,1088.35866,0.165,98761.02823,0.000347819
663.15,0.093104104,538.7055556,1717.333476,1088.568,0.165055556,96773.24424,0.000347886
673.15,0.093104104,544.2611111,1714.014387,1090.6614,0.165611111,77009.76371,0.000348559
675,0.093104104,548.15,1711.691026,1092.12678,0.166,68669.06272,0.000349033
699.8166667,0.093104104,550,1710.585769,1092.823882,0.16637,64660.82458,0.000368387
700,0.093104104,551.65,1709.6,1093.445622,0.1667,61085.90948,0.000385649
718.15,0.093104104,555.3722222,1706.929371,1094.8482,0.167444444,53096.22525,0.000420335
,,558.15,1704.936364,1095.8949,0.168,48328.09369,0.000420827
,,560.9277778,1702.943357,1096.9416,0.168277778,43673.92528,0.000421319
,,566.4833333,1698.957343,1100.29104,0.168833333,34443.15374,0.000422308
,,568.15,1697.761538,1101.295872,0.169,32590.96907,0.000422605
,,575,1692.846783,1105.425732,0.17037,24973.65787,0.000423833
,,577.5944444,1690.985315,1106.98992,0.170888889,22088.59353,0.000424298
,,578.15,1690.586713,1107.324864,0.171,21848.34722,0.000424399
,,583.15,1686.999301,1110.33936,0.173,19590.85374,0.000425301
,,588.7055556,1683.013287,1113.6888,0.174111111,17262.07893,0.000426308
,,593.15,1679.824476,1118.178666,0.175,13675.71451,0.000427118
,,598.15,1676.237063,1123.229765,0.176,10672.06318,0.000428032
,,600,1674.90972,1125.098672,0.176555,9581.283553,0.000428372
,,608.15,1669.062238,1133.331964,0.179,4775.95708,0.000429872
,,623.15,1658.3,1148.485261,0.183,3535.449813,0.000425887
,,625,1657.037978,1150.354168,0.183,3396.746309,0.000422364
,,630.15,1653.524783,1155.5568,0.183,3010.625744,0.000412557
,,638.15,1648.067391,1161.009377,0.183,2414.466579,0.000413924
,,644.2611111,1643.898551,1165.17454,0.185444444,1935.824822,0.000414973
,,648.15,1641.245652,1167.825098,0.187,817.1481564,0.000415644
,,650,1639.98363,1169.086006,0.187616667,813.9116594,0.000415966
,,663.15,1631.013043,1178.048679,0.192,790.9062885,0.000418252
,,673.15,1624.191304,1184.8644,0.195,775.4814127,0.000420008
,,675,1622.929283,1186.125308,0.195555,772.7824394,0.000420338
,,699.8166667,1606,1203.039656,0.203,736.5772926,0.000424766
,,700,1605.874935,1203.164611,0.203055,736.3271447,0.000424799
,,718.15,1593.493478,1215.535144,0.2085,711.5625031,0.0004281