Tmu,mu
387.65,0.012074963
388.15,0.011994602
388.705555,0.011905312
394.2611111,0.011012414
403.15,0.011
408.15,0.0099
413.15,0.009
418.15,0.0081
423.15,0.0072
428.15,0.0065
433.05,0.0089
438.05,0.043
443.15,0.8711
448.05,5.668
453.05,14.901
458.05,25.97
463.05,35.262
468.05,41.499
473.15,44.551
478.15,44.845
483.15,43.12
488.15,40.095
493.15,36.412
498.15,32.442
503.15,28.467
508.15,24.752
513.15,21.099
518.15,18.1
523.15,15.343
528.15,12.966
533.15,10.603
538.15,9.34
543.15,7.819
548.15,6.544
553.15,5.517
555.3722222,5.208574
558.15,4.7621248
560.9277778,4.3156756
566.4833333,3.4227772
568.15,3.24419752
575,2.510235035
577.5944444,2.232246
578.15,2.20992354
583.15,2.0090214
588.7055556,1.7857968
593.15,1.424702446
598.15,1.120535491
600,1.007993717
608.15,0.512201581
623.15,0.390150947
625,0.375098036
630.15,0.333193985
638.15,0.268100313
644.2611111,0.218375981
648.15,0.093104104
650,0.093104104
663.15,0.093104104
673.15,0.093104104
675,0.093104104
699.8166667,0.093104104
700,0.093104104
718.15,0.093104104